,cod_ship,Order ID,Order Date,Ship Date,Ship Mode,City
2664,2665,CA-2015-150490,05/08/2015,11/08/2015,Standard Class,San Francisco
2665,2666,US-2018-126060,14/04/2018,18/04/2018,Standard Class,Fayetteville
2666,2667,CA-2018-100951,09/06/2018,10/06/2018,First Class,Dallas
2667,2668,CA-2017-122017,29/12/2017,02/01/2018,Standard Class,Wichita
2668,2669,CA-2015-123477,18/01/2015,21/01/2015,Second Class,Springfield
2669,2670,CA-2017-107790,20/11/2017,24/11/2017,Standard Class,Houston
2670,2671,CA-2018-158071,10/06/2018,15/06/2018,Standard Class,Seattle
2671,2672,CA-2018-147403,10/09/2018,13/09/2018,First Class,Akron
2672,2673,US-2018-136721,08/04/2018,12/04/2018,Standard Class,Oak Park
2673,2674,CA-2016-118738,24/10/2016,30/10/2016,Standard Class,Houston
2674,2675,CA-2018-134152,27/05/2018,31/05/2018,Standard Class,Seattle
2675,2676,CA-2015-125542,05/12/2015,07/12/2015,First Class,Philadelphia
2676,2677,CA-2017-136021,14/08/2017,18/08/2017,Standard Class,Los Angeles
2677,2678,CA-2017-149195,05/09/2017,07/09/2017,Second Class,Houston
2678,2679,CA-2018-161410,26/06/2018,03/07/2018,Standard Class,Philadelphia
2679,2680,CA-2018-152786,12/03/2018,17/03/2018,Standard Class,Rogers
2680,2681,CA-2018-164707,18/02/2018,21/02/2018,Second Class,Los Angeles
2681,2682,CA-2018-163874,10/11/2018,12/11/2018,Second Class,Seattle
2682,2683,US-2015-123183,19/11/2015,25/11/2015,Standard Class,Wilmington
2683,2684,CA-2015-104829,18/11/2015,21/11/2015,Second Class,Provo
2684,2685,US-2017-147340,24/09/2017,24/09/2017,Same Day,San Francisco
2685,2686,CA-2017-145492,20/11/2017,27/11/2017,Standard Class,Los Angeles
2686,2687,CA-2017-163202,27/09/2017,02/10/2017,Standard Class,Lancaster
2687,2688,CA-2017-117681,09/04/2017,14/04/2017,Standard Class,Los Angeles
2688,2689,CA-2018-132262,21/09/2018,23/09/2018,First Class,Seattle
2689,2690,CA-2018-123043,24/08/2018,29/08/2018,Standard Class,New York City
2690,2691,US-2017-143280,22/02/2017,26/02/2017,Standard Class,Los Angeles
2691,2692,CA-2018-108854,08/12/2018,14/12/2018,Standard Class,San Francisco
2692,2693,CA-2018-166856,18/09/2018,22/09/2018,Standard Class,Clovis
2693,2694,CA-2017-153157,11/09/2017,14/09/2017,First Class,Wichita
2694,2695,US-2018-125647,23/09/2018,28/09/2018,Standard Class,Chicago
2695,2696,CA-2015-132542,06/10/2015,08/10/2015,Second Class,Omaha
2696,2697,CA-2016-110877,23/10/2016,26/10/2016,First Class,Houston
2697,2698,US-2017-151827,31/03/2017,02/04/2017,Second Class,Philadelphia
2698,2699,US-2017-163258,29/12/2017,02/01/2018,Standard Class,Los Angeles
2699,2700,CA-2018-103009,03/11/2018,05/11/2018,Second Class,Richmond
2700,2701,US-2018-120649,20/01/2018,26/01/2018,Standard Class,Waterbury
2701,2702,CA-2017-153598,03/12/2017,06/12/2017,First Class,Los Angeles
2702,2703,US-2017-108497,14/06/2017,14/06/2017,Same Day,Los Angeles
2703,2704,CA-2017-113096,02/09/2017,04/09/2017,First Class,San Francisco
2704,2705,CA-2015-136861,05/09/2015,07/09/2015,First Class,Saint Petersburg
2705,2706,CA-2018-117422,21/10/2018,25/10/2018,Standard Class,Lakewood
2706,2707,CA-2018-129707,25/04/2018,29/04/2018,Standard Class,Chandler
2707,2708,CA-2016-160171,19/10/2016,24/10/2016,Standard Class,Los Angeles
2708,2709,CA-2015-103317,05/07/2015,08/07/2015,First Class,Palm Coast
2709,2710,CA-2017-167115,04/04/2017,09/04/2017,Standard Class,New York City
2710,2711,US-2018-153633,13/11/2018,18/11/2018,Second Class,Jupiter
2711,2712,CA-2018-155929,09/09/2018,13/09/2018,Standard Class,Glendale
2712,2713,CA-2016-148712,17/04/2016,23/04/2016,Standard Class,New York City
2713,2714,CA-2017-128307,25/07/2017,29/07/2017,Standard Class,Houston
2714,2715,US-2017-127425,26/08/2017,31/08/2017,Standard Class,New York City
2715,2716,US-2015-119081,12/09/2015,19/09/2015,Standard Class,Olathe
2716,2717,CA-2017-140613,22/07/2017,29/07/2017,Standard Class,Sparks
2717,2718,US-2018-108700,19/05/2018,23/05/2018,Standard Class,Rockford
2718,2719,CA-2018-160962,28/04/2018,02/05/2018,Standard Class,Philadelphia
2719,2720,CA-2018-130631,29/12/2018,02/01/2019,Standard Class,Edmonds
2720,2721,CA-2018-116680,04/09/2018,06/09/2018,Second Class,San Francisco
2721,2722,US-2015-107405,21/03/2015,25/03/2015,Standard Class,Asheville
2722,2723,CA-2018-101574,28/09/2018,04/10/2018,Standard Class,Los Angeles
2723,2724,CA-2015-146591,19/01/2015,20/01/2015,First Class,Scottsdale
2724,2725,CA-2015-107706,14/02/2015,19/02/2015,Second Class,Houston
2725,2726,CA-2017-122448,09/06/2017,14/06/2017,Standard Class,San Francisco
2726,2727,CA-2015-132451,26/09/2015,27/09/2015,First Class,San Diego
2727,2728,CA-2017-158547,30/05/2017,04/06/2017,Standard Class,Hamilton
2728,2729,CA-2018-116946,19/12/2018,23/12/2018,Standard Class,Parker
2729,2730,CA-2018-121741,26/12/2018,26/12/2018,Same Day,Fremont
2730,2731,CA-2018-169691,15/06/2018,18/06/2018,First Class,Maple Grove
2731,2732,CA-2017-121356,20/11/2017,24/11/2017,Standard Class,Newark
2732,2733,CA-2015-101770,31/03/2015,04/04/2015,Standard Class,Miami
2733,2734,CA-2018-105487,08/10/2018,14/10/2018,Standard Class,San Diego
2734,2735,CA-2018-148999,30/01/2018,04/02/2018,Standard Class,Miami
2735,2736,CA-2015-107573,12/12/2015,17/12/2015,Standard Class,Miami
2736,2737,CA-2016-156608,24/10/2016,29/10/2016,Standard Class,San Antonio
2737,2738,CA-2018-134495,01/04/2018,04/04/2018,Second Class,Jacksonville
2738,2739,CA-2018-164098,26/01/2018,27/01/2018,First Class,Houston
2739,2740,CA-2015-105249,28/11/2015,28/11/2015,Same Day,San Francisco
2740,2741,CA-2016-113523,04/09/2016,08/09/2016,Standard Class,Philadelphia
2741,2742,CA-2018-117821,12/06/2018,16/06/2018,Standard Class,Marion
2742,2743,CA-2018-164378,15/07/2018,18/07/2018,Second Class,New York City
2743,2744,CA-2018-127782,02/11/2018,06/11/2018,Standard Class,Philadelphia
2744,2745,US-2017-162026,08/10/2017,08/10/2017,Same Day,Los Angeles
2745,2746,CA-2017-150000,08/04/2017,14/04/2017,Standard Class,Smyrna
2746,2747,CA-2016-168529,08/10/2016,12/10/2016,Standard Class,San Francisco
2747,2748,US-2018-152569,15/05/2018,20/05/2018,Standard Class,Chicago
2748,2749,US-2015-137680,24/02/2015,02/03/2015,Standard Class,Medford
2749,2750,CA-2016-103177,30/05/2016,01/06/2016,First Class,New York City
2750,2751,US-2017-138408,18/11/2017,21/11/2017,Second Class,Huntsville
2751,2752,CA-2018-117667,04/12/2018,09/12/2018,Standard Class,Philadelphia
2752,2753,CA-2017-110982,05/06/2017,07/06/2017,First Class,Santa Clara
2753,2754,CA-2017-147123,10/12/2017,12/12/2017,First Class,Long Beach
2754,2755,CA-2018-154501,30/04/2018,05/05/2018,Standard Class,Los Angeles
2755,2756,CA-2018-166933,24/04/2018,28/04/2018,Standard Class,Santa Barbara
2756,2757,CA-2016-142055,08/05/2016,10/05/2016,First Class,New York City
2757,2758,CA-2016-137106,31/03/2016,04/04/2016,Standard Class,Jacksonville
2758,2759,CA-2018-136609,06/08/2018,11/08/2018,Standard Class,Cedar Hill
2759,2760,CA-2018-160885,02/12/2018,06/12/2018,Standard Class,Omaha
2760,2761,US-2017-167472,06/06/2017,07/06/2017,First Class,Little Rock
2761,2762,CA-2016-120551,13/04/2016,20/04/2016,Standard Class,Norfolk
2762,2763,US-2018-150595,22/05/2018,26/05/2018,Standard Class,Chicago
2763,2764,CA-2017-134936,19/12/2017,25/12/2017,Standard Class,Tucson
2764,2765,CA-2018-102967,22/09/2018,26/09/2018,Standard Class,Concord
2765,2766,CA-2018-151008,07/09/2018,08/09/2018,First Class,Draper
2766,2767,CA-2015-159800,28/11/2015,01/12/2015,First Class,San Francisco
2767,2768,US-2015-159618,12/11/2015,16/11/2015,Standard Class,Houston
2768,2769,CA-2018-116113,02/10/2018,06/10/2018,Second Class,Montgomery
2769,2770,CA-2016-125066,14/12/2016,18/12/2016,Standard Class,Jackson
2770,2771,US-2016-114741,06/12/2016,10/12/2016,Standard Class,North Las Vegas
2771,2772,CA-2018-133263,31/03/2018,02/04/2018,Second Class,Atlanta
2772,2773,CA-2018-157966,13/03/2018,13/03/2018,Same Day,Chicago
2773,2774,CA-2015-151162,05/12/2015,09/12/2015,Standard Class,Columbus
2774,2775,CA-2017-136686,12/12/2017,16/12/2017,Standard Class,Pasadena
2775,2776,CA-2018-137498,09/09/2018,14/09/2018,Second Class,Los Angeles
2776,2777,CA-2018-163818,04/10/2018,08/10/2018,Standard Class,Clinton
2777,2778,CA-2017-161158,09/05/2017,13/05/2017,Standard Class,New York City
2778,2779,CA-2015-116673,15/12/2015,19/12/2015,Second Class,San Diego
2779,2780,CA-2018-105333,30/11/2018,04/12/2018,Standard Class,New York City
2780,2781,CA-2016-149993,19/03/2016,20/03/2016,First Class,Lancaster
2781,2782,CA-2015-168158,19/07/2015,24/07/2015,Standard Class,Great Falls
2782,2783,CA-2017-115224,08/12/2017,11/12/2017,Second Class,San Francisco
2783,2784,CA-2015-164742,13/10/2015,18/10/2015,Second Class,Lakewood
2784,2785,US-2018-108014,19/11/2018,25/11/2018,Standard Class,Cleveland
2785,2786,CA-2018-160325,24/09/2018,24/09/2018,Same Day,Lawrence
2786,2787,CA-2016-159779,25/09/2016,29/09/2016,Standard Class,Concord
2787,2788,CA-2018-151176,13/02/2018,20/02/2018,Standard Class,Baltimore
2788,2789,CA-2015-108903,03/10/2015,03/10/2015,Same Day,Columbus
2789,2790,CA-2017-117919,27/08/2017,29/08/2017,Second Class,Houston
2790,2791,CA-2016-142475,03/12/2016,07/12/2016,Standard Class,New York City
2791,2792,CA-2017-134516,20/09/2017,25/09/2017,Standard Class,Greensboro
2792,2793,CA-2018-105193,25/03/2018,31/03/2018,Standard Class,New York City
2793,2794,CA-2016-168634,06/12/2016,11/12/2016,Standard Class,San Francisco
2794,2795,CA-2018-117198,31/08/2018,05/09/2018,Standard Class,Monroe
2795,2796,CA-2016-145828,05/10/2016,07/10/2016,First Class,Cincinnati
2796,2797,CA-2018-121027,18/08/2018,22/08/2018,Standard Class,Seattle
2797,2798,CA-2017-147431,02/02/2017,07/02/2017,Standard Class,New York City
2798,2799,CA-2017-158001,23/08/2017,27/08/2017,Standard Class,New York City
2799,2800,CA-2018-125745,30/06/2018,04/07/2018,Standard Class,Memphis
2800,2801,CA-2016-101154,18/09/2016,21/09/2016,First Class,San Diego
2801,2802,US-2017-124163,25/09/2017,30/09/2017,Standard Class,La Crosse
2802,2803,CA-2017-121748,24/10/2017,28/10/2017,Second Class,Los Angeles
2803,2804,CA-2015-126683,29/09/2015,01/10/2015,Second Class,Seattle
2804,2805,CA-2018-148810,26/06/2018,01/07/2018,Standard Class,Miami
2805,2806,US-2017-146066,21/08/2017,23/08/2017,Second Class,Philadelphia
2806,2807,CA-2015-127614,11/02/2015,15/02/2015,Standard Class,Chesapeake
2807,2808,CA-2017-101742,23/09/2017,28/09/2017,Second Class,New York City
2808,2809,CA-2016-134943,05/12/2016,06/12/2016,First Class,Ann Arbor
2809,2810,CA-2018-123022,03/09/2018,08/09/2018,Standard Class,La Mesa
2810,2811,CA-2018-113208,26/03/2018,02/04/2018,Standard Class,Dearborn
2811,2812,CA-2015-154893,21/12/2015,27/12/2015,Standard Class,San Diego
2812,2813,CA-2015-147900,23/09/2015,28/09/2015,Standard Class,Lakewood
2813,2814,CA-2018-106355,02/04/2018,05/04/2018,First Class,Meriden
2814,2815,CA-2017-127985,01/04/2017,05/04/2017,Second Class,Columbus
2815,2816,CA-2016-166604,15/05/2016,20/05/2016,Second Class,Roswell
2816,2817,CA-2018-120719,23/03/2018,26/03/2018,First Class,Seattle
2817,2818,CA-2018-127117,14/04/2018,19/04/2018,Standard Class,Morristown
2818,2819,CA-2016-104241,04/01/2016,09/01/2016,Standard Class,Alexandria
2819,2820,CA-2018-168179,02/11/2018,07/11/2018,Standard Class,Salt Lake City
2820,2821,CA-2018-142342,17/07/2018,19/07/2018,Second Class,Apple Valley
2821,2822,CA-2018-109099,06/10/2018,11/10/2018,Standard Class,New York City
2822,2823,US-2015-134187,04/11/2015,11/11/2015,Standard Class,Long Beach
2823,2824,CA-2017-145261,18/12/2017,21/12/2017,First Class,Salem
2824,2825,CA-2017-108875,24/09/2017,01/10/2017,Standard Class,Aurora
2825,2826,CA-2017-141957,21/07/2017,21/07/2017,Same Day,Newark
2826,2827,CA-2017-142405,11/06/2017,15/06/2017,Standard Class,Seattle
2827,2828,CA-2016-141012,09/06/2016,11/06/2016,Second Class,Pocatello
2828,2829,CA-2018-127922,27/10/2018,03/11/2018,Standard Class,Dallas
2829,2830,CA-2017-146318,22/01/2017,27/01/2017,Standard Class,Seattle
2830,2831,CA-2015-135993,28/05/2015,02/06/2015,Standard Class,Seattle
2831,2832,CA-2015-126802,29/12/2015,05/01/2016,Standard Class,Chicago
2832,2833,CA-2017-143924,28/07/2017,03/08/2017,Standard Class,Holland
2833,2834,CA-2017-141551,24/09/2017,30/09/2017,Standard Class,Broken Arrow
2834,2835,CA-2015-164315,02/04/2015,08/04/2015,Standard Class,Athens
2835,2836,CA-2016-131072,05/11/2016,05/11/2016,Same Day,Seattle
2836,2837,CA-2015-131541,28/07/2015,28/07/2015,Same Day,Apopka
2837,2838,CA-2016-119550,26/12/2016,31/12/2016,Standard Class,Houston
2838,2839,US-2016-138093,10/12/2016,16/12/2016,Standard Class,Baltimore
2839,2840,CA-2017-126165,05/05/2017,07/05/2017,Second Class,San Francisco
2840,2841,CA-2018-126123,14/10/2018,18/10/2018,Standard Class,Chicago
2841,2842,CA-2017-143441,05/11/2017,05/11/2017,Same Day,Laredo
2842,2843,CA-2018-148320,03/11/2018,08/11/2018,Standard Class,San Francisco
2843,2844,CA-2017-125661,24/11/2017,26/11/2017,First Class,Cleveland
2844,2845,US-2015-123519,14/12/2015,21/12/2015,Standard Class,Marion
2845,2846,CA-2015-155593,03/11/2015,08/11/2015,Standard Class,Fairfield
2846,2847,CA-2018-136000,22/09/2018,25/09/2018,Second Class,New York City
2847,2848,US-2016-160857,08/05/2016,15/05/2016,Standard Class,New York City
2848,2849,CA-2018-115805,31/07/2018,31/07/2018,Same Day,Chicago
2849,2850,US-2015-143707,01/03/2015,05/03/2015,Standard Class,New York City
2850,2851,CA-2018-116939,25/09/2018,29/09/2018,Standard Class,Richmond
2851,2852,CA-2016-124107,09/10/2016,12/10/2016,Second Class,Ann Arbor
2852,2853,CA-2018-126550,29/03/2018,02/04/2018,Second Class,Lafayette
2853,2854,CA-2016-138674,14/11/2016,17/11/2016,First Class,Springfield
2854,2855,CA-2017-165820,26/09/2017,30/09/2017,Standard Class,San Francisco
2855,2856,CA-2015-103191,22/09/2015,27/09/2015,Standard Class,Chicago
2856,2857,CA-2016-103933,25/09/2016,27/09/2016,First Class,New York City
2857,2858,CA-2016-110548,04/05/2016,08/05/2016,Standard Class,Houston
2858,2859,CA-2018-117324,08/12/2018,13/12/2018,Standard Class,Madison
2859,2860,CA-2018-143574,29/06/2018,02/07/2018,First Class,Milford
2860,2861,CA-2015-111773,29/06/2015,03/07/2015,Standard Class,New York City
2861,2862,CA-2015-148614,20/01/2015,25/01/2015,Standard Class,Los Angeles
2862,2863,CA-2017-156139,31/12/2017,06/01/2018,Standard Class,San Francisco
2863,2864,US-2018-147886,28/03/2018,31/03/2018,First Class,Fairfield
2864,2865,CA-2017-113733,08/12/2017,12/12/2017,Standard Class,Greenville
2865,2866,CA-2018-104913,18/11/2018,22/11/2018,Standard Class,Long Beach
2866,2867,CA-2015-145800,30/05/2015,05/06/2015,Standard Class,Buffalo Grove
2867,2868,CA-2017-125850,22/01/2017,28/01/2017,Standard Class,San Diego
2868,2869,CA-2017-118514,03/02/2017,10/02/2017,Standard Class,Richmond
2869,2870,CA-2016-150749,29/03/2016,03/04/2016,Second Class,Springfield
2870,2871,CA-2015-163748,14/10/2015,18/10/2015,Standard Class,Fort Worth
2871,2872,CA-2016-119634,11/08/2016,16/08/2016,Standard Class,Raleigh
2872,2873,CA-2016-149300,22/11/2016,23/11/2016,First Class,Hialeah
2873,2874,US-2017-111528,30/12/2017,30/12/2017,Same Day,Los Angeles
2874,2875,CA-2018-158169,12/08/2018,15/08/2018,First Class,Lake Forest
2875,2876,CA-2016-162047,03/11/2016,05/11/2016,First Class,Long Beach
2876,2877,CA-2016-117772,10/09/2016,12/09/2016,Second Class,Seattle
2877,2878,US-2015-126340,08/11/2015,14/11/2015,Standard Class,Redding
2878,2879,CA-2017-149685,08/10/2017,15/10/2017,Standard Class,San Antonio
2879,2880,CA-2018-126396,08/09/2018,12/09/2018,Second Class,Houston
2880,2881,CA-2016-154900,25/02/2016,01/03/2016,Standard Class,Leominster
2881,2882,CA-2016-103835,24/09/2016,28/09/2016,Standard Class,Los Angeles
2882,2883,CA-2016-158939,26/11/2016,01/12/2016,Standard Class,Springfield
2883,2884,CA-2017-117408,31/08/2017,06/09/2017,Standard Class,Waco
2884,2885,CA-2017-142398,12/04/2017,16/04/2017,Standard Class,Los Angeles
2885,2886,CA-2017-105277,04/12/2017,08/12/2017,Standard Class,Auburn
2886,2887,CA-2017-112060,04/12/2017,09/12/2017,Standard Class,San Francisco
2887,2888,CA-2015-105270,11/11/2015,18/11/2015,Standard Class,Los Angeles
2888,2889,US-2016-159513,02/04/2016,09/04/2016,Standard Class,Los Angeles
2889,2890,CA-2016-155586,12/12/2016,16/12/2016,Second Class,Chico
2890,2891,CA-2018-141117,02/10/2018,08/10/2018,Standard Class,Springfield
2891,2892,CA-2018-115070,10/04/2018,14/04/2018,Second Class,Jacksonville
2892,2893,CA-2018-140186,29/09/2018,02/10/2018,First Class,Bakersfield
2893,2894,CA-2015-124856,29/09/2015,03/10/2015,Second Class,New York City
2894,2895,CA-2015-166716,20/08/2015,25/08/2015,Second Class,Chicago
2895,2896,CA-2015-123225,11/07/2015,14/07/2015,First Class,El Paso
2896,2897,CA-2016-163440,22/03/2016,24/03/2016,First Class,Thousand Oaks
2897,2898,US-2018-106796,12/05/2018,19/05/2018,Standard Class,Springfield
2898,2899,CA-2018-113873,13/11/2018,19/11/2018,Standard Class,Dallas
2899,2900,CA-2017-149783,04/09/2017,07/09/2017,Second Class,Knoxville
2900,2901,CA-2017-125017,06/02/2017,11/02/2017,Standard Class,Chattanooga
2901,2902,US-2016-163279,22/03/2016,26/03/2016,Standard Class,San Diego
2902,2903,CA-2016-150196,02/07/2016,03/07/2016,First Class,New York City
2903,2904,US-2016-106495,15/06/2016,17/06/2016,First Class,Tampa
2904,2905,CA-2015-124730,26/11/2015,26/11/2015,Same Day,Utica
2905,2906,CA-2018-117632,12/05/2018,18/05/2018,Standard Class,San Francisco
2906,2907,CA-2015-115056,02/05/2015,02/05/2015,Same Day,Columbus
2907,2908,CA-2018-161067,03/09/2018,06/09/2018,Second Class,New York City
2908,2909,CA-2017-122063,03/12/2017,07/12/2017,Standard Class,Richmond
2909,2910,CA-2016-111206,18/07/2016,22/07/2016,Standard Class,San Diego
2910,2911,CA-2017-142895,21/07/2017,26/07/2017,Standard Class,Concord
2911,2912,CA-2016-101868,09/06/2016,16/06/2016,Standard Class,Miami
2912,2913,CA-2018-133207,27/11/2018,03/12/2018,Standard Class,Los Angeles
2913,2914,CA-2016-132948,27/03/2016,03/04/2016,Standard Class,Seattle
2914,2915,CA-2016-134992,22/09/2016,26/09/2016,Second Class,Arlington
2915,2916,CA-2016-126725,17/11/2016,21/11/2016,Standard Class,San Diego
2916,2917,CA-2016-121783,10/11/2016,14/11/2016,Standard Class,Roseville
2917,2918,US-2015-138835,10/09/2015,14/09/2015,Standard Class,Virginia Beach
2918,2919,CA-2016-112214,05/08/2016,11/08/2016,Standard Class,Dallas
2919,2920,US-2018-153255,03/09/2018,07/09/2018,Second Class,Concord
2920,2921,CA-2016-108119,01/11/2016,08/11/2016,Standard Class,Conway
2921,2922,CA-2016-157434,29/04/2016,04/05/2016,Second Class,Philadelphia
2922,2923,CA-2017-101525,01/05/2017,04/05/2017,Second Class,Little Rock
2923,2924,US-2015-117968,05/08/2015,07/08/2015,Second Class,Meriden
2924,2925,CA-2017-158211,04/01/2017,08/01/2017,Standard Class,Philadelphia
2925,2926,CA-2017-152247,07/11/2017,12/11/2017,Standard Class,Cheyenne
2926,2927,CA-2017-128223,14/06/2017,14/06/2017,Same Day,Anaheim
2927,2928,CA-2017-154235,24/09/2017,28/09/2017,Standard Class,Bloomington
2928,2929,CA-2018-129910,30/03/2018,03/04/2018,Standard Class,Columbus
2929,2930,CA-2018-133095,04/06/2018,04/06/2018,Same Day,Jonesboro
2930,2931,CA-2016-130554,07/04/2016,09/04/2016,First Class,Philadelphia
2931,2932,CA-2015-152443,21/05/2015,26/05/2015,Standard Class,Lawrence
2932,2933,CA-2017-133319,05/09/2017,11/09/2017,Standard Class,New York City
2933,2934,CA-2017-133935,18/09/2017,22/09/2017,Standard Class,San Diego
2934,2935,CA-2017-136301,13/03/2017,15/03/2017,Second Class,San Francisco
2935,2936,US-2015-109456,16/10/2015,17/10/2015,Same Day,San Francisco
2936,2937,CA-2018-151596,08/10/2018,11/10/2018,First Class,Cranston
2937,2938,CA-2016-147879,07/05/2016,12/05/2016,Standard Class,Owensboro
2938,2939,CA-2017-166625,14/04/2017,17/04/2017,First Class,Baltimore
2939,2940,CA-2017-146157,21/11/2017,26/11/2017,Standard Class,Chicago
2940,2941,CA-2018-159954,10/09/2018,14/09/2018,Standard Class,Atlanta
2941,2942,CA-2018-100825,09/09/2018,14/09/2018,Standard Class,Los Angeles
2942,2943,CA-2015-168305,01/11/2015,08/11/2015,Standard Class,Los Angeles
2943,2944,CA-2017-167682,03/04/2017,09/04/2017,Standard Class,Richmond
2944,2945,CA-2018-108000,12/01/2018,16/01/2018,Standard Class,San Francisco
2945,2946,CA-2016-146465,20/11/2016,24/11/2016,Standard Class,San Francisco
2946,2947,CA-2017-159639,27/11/2017,02/12/2017,Standard Class,Westfield
2947,2948,US-2018-153948,06/11/2018,06/11/2018,Same Day,San Francisco
2948,2949,US-2017-113985,02/12/2017,07/12/2017,Standard Class,San Jose
2949,2950,CA-2017-155383,17/12/2017,22/12/2017,Standard Class,Seattle
2950,2951,CA-2015-120432,24/08/2015,26/08/2015,Second Class,Owensboro
2951,2952,US-2016-126977,17/09/2016,23/09/2016,Standard Class,New York City
2952,2953,CA-2017-130288,26/11/2017,30/11/2017,Second Class,New York City
2953,2954,CA-2018-146458,19/11/2018,22/11/2018,Second Class,Springfield
2954,2955,CA-2018-150420,03/06/2018,08/06/2018,Standard Class,Bellingham
2955,2956,US-2015-118997,08/04/2015,12/04/2015,Standard Class,Decatur
2956,2957,CA-2015-114314,11/10/2015,15/10/2015,Standard Class,Fayetteville
2957,2958,US-2018-169551,07/07/2018,09/07/2018,First Class,Philadelphia
2958,2959,CA-2017-103107,04/07/2017,04/07/2017,Same Day,Seattle
2959,2960,CA-2018-122077,19/05/2018,25/05/2018,Standard Class,Plano
2960,2961,CA-2018-112431,12/10/2018,14/10/2018,Second Class,Los Angeles
2961,2962,CA-2017-151092,06/08/2017,13/08/2017,Standard Class,Los Angeles
2962,2963,CA-2015-104178,25/08/2015,29/08/2015,Standard Class,Los Angeles
2963,2964,CA-2016-115924,14/09/2016,18/09/2016,Second Class,Des Moines
2964,2965,CA-2018-161046,05/03/2018,05/03/2018,Same Day,Southaven
2965,2966,US-2018-141698,15/04/2018,21/04/2018,Standard Class,Houston
2966,2967,US-2015-105151,30/03/2015,31/03/2015,First Class,New York City
2967,2968,CA-2015-155796,11/11/2015,15/11/2015,Second Class,Reading
2968,2969,CA-2017-127138,12/03/2017,15/03/2017,Second Class,San Francisco
2969,2970,CA-2018-150602,09/02/2018,14/02/2018,Second Class,Los Angeles
2970,2971,CA-2015-140732,11/11/2015,13/11/2015,Second Class,Los Angeles
2971,2972,CA-2018-119011,20/08/2018,25/08/2018,Standard Class,San Francisco
2972,2973,CA-2017-166912,15/01/2017,17/01/2017,First Class,New York City
2973,2974,CA-2015-141726,20/07/2015,22/07/2015,First Class,San Diego
2974,2975,CA-2018-115105,06/02/2018,11/02/2018,Standard Class,New York City
2975,2976,CA-2016-143980,25/12/2016,29/12/2016,Standard Class,New York City
2976,2977,CA-2017-135636,08/10/2017,13/10/2017,Standard Class,Charlotte
2977,2978,CA-2018-102155,13/07/2018,17/07/2018,Standard Class,Overland Park
2978,2979,CA-2018-116953,24/04/2018,25/04/2018,First Class,Mesa
2979,2980,CA-2015-117765,07/09/2015,13/09/2015,Standard Class,Tulsa
2980,2981,CA-2017-114895,21/11/2017,28/11/2017,Standard Class,New York City
2981,2982,CA-2018-112984,16/09/2018,18/09/2018,Second Class,Philadelphia
2982,2983,CA-2017-163776,19/07/2017,25/07/2017,Standard Class,Hattiesburg
2983,2984,US-2018-163300,15/09/2018,21/09/2018,Standard Class,Los Angeles
2984,2985,CA-2017-162187,11/12/2017,11/12/2017,Same Day,Columbus
2985,2986,US-2015-112991,10/12/2015,14/12/2015,Standard Class,Caldwell
2986,2987,CA-2015-124079,13/12/2015,17/12/2015,Standard Class,Phoenix
2987,2988,US-2018-146878,21/09/2018,27/09/2018,Standard Class,Miami
2988,2989,CA-2018-107244,07/09/2018,11/09/2018,Standard Class,Los Angeles
2989,2990,CA-2016-100657,02/11/2016,07/11/2016,Standard Class,Troy
2990,2991,CA-2018-129581,11/12/2018,18/12/2018,Standard Class,New Bedford
2991,2992,CA-2018-129028,01/04/2018,03/04/2018,First Class,Florence
2992,2993,CA-2016-135580,30/12/2016,03/01/2017,Standard Class,Los Angeles
2993,2994,CA-2017-159016,10/03/2017,11/03/2017,First Class,Los Angeles
2994,2995,CA-2015-102652,06/04/2015,12/04/2015,Standard Class,Los Angeles
2995,2996,CA-2015-152422,05/10/2015,10/10/2015,Second Class,Columbus
2996,2997,US-2017-156692,13/08/2017,13/08/2017,Same Day,Kenner
2997,2998,CA-2015-130869,17/11/2015,21/11/2015,Standard Class,Cedar Hill
2998,2999,US-2018-128832,24/04/2018,27/04/2018,First Class,Providence
2999,3000,CA-2018-139717,24/08/2018,26/08/2018,Second Class,Lancaster
3000,3001,CA-2018-136007,23/02/2018,02/03/2018,Standard Class,Seattle
3001,3002,CA-2017-157364,19/11/2017,21/11/2017,First Class,Jacksonville
3002,3003,US-2017-112970,14/11/2017,15/11/2017,First Class,Los Angeles
3003,3004,US-2018-152492,06/07/2018,06/07/2018,Same Day,Miami
3004,3005,CA-2017-101168,25/12/2017,01/01/2018,Standard Class,Nashua
3005,3006,CA-2018-104010,23/04/2018,25/04/2018,First Class,New York City
3006,3007,CA-2016-130253,14/12/2016,18/12/2016,Standard Class,Los Angeles
3007,3008,US-2016-155369,19/04/2016,25/04/2016,Standard Class,Carrollton
3008,3009,CA-2017-131205,04/09/2017,08/09/2017,Standard Class,Georgetown
3009,3010,CA-2018-122364,24/09/2018,29/09/2018,Standard Class,Los Angeles
3010,3011,CA-2017-117912,04/02/2017,08/02/2017,Standard Class,Sierra Vista
3011,3012,CA-2018-145702,19/05/2018,24/05/2018,Second Class,Knoxville
3012,3013,CA-2016-113215,03/09/2016,08/09/2016,Standard Class,Tucson
3013,3014,CA-2017-154662,09/06/2017,16/06/2017,Standard Class,Minneapolis
